id,carrera1,carrera2,carrera3
164169,LRP,LNI,LPT
164171,LFP,,
164173,LFP,,
164174,LII,,
164175,LAT,,
164177,BHR,,
164178,LAD,,
164180,LNI,,
164181,LNI,,
164182,LAT,,
164185,BNI,,
164187,LBN,,
164190,LNM,,
164191,LIS,,
164192,LRI,,
164193,LPM,,
164194,LII,,
164197,LBN,,
164198,LIM,,
164199,LAT,,
164201,LBC,,
164204,LNI,,
164206,LAR,,
164207,LEF,,
164242,LRP,,
164245,LII,,
164246,LBN,,
164249,LNM,,
164251,LCS,,
164254,LNI,,
164257,LRI,,
164258,LEC,,
164259,LFA,,
164260,LNM,,
164261,LIN,LQI,
164262,LPT,,
164265,LIS,,
164268,LAR,,
164269,LFP,,
164270,LBN,,
164273,LEC,,
164274,LRI,,
164275,LPD,,
164276,LAD,,
164278,LFB,,
164282,LNI,,
164283,LAD,,
164284,LPA,,
164285,LAD,,
164287,LBC,,
164291,LEF,,
164292,LMK,,
164293,LIM,,
164294,LAD,,
164298,LEF,,
164299,LRT,,
164300,LRI,,
164301,LEC,,
164302,LBN,,
164303,LAD,,
164304,LPM,,
164305,LQI,LIN,
164306,LEC,,
164310,LRI,,
164311,LNI,,
164312,LAR,,
164313,LBM,,
164316,LII,,
164317,LEC,LFP,
164318,LAR,,
164319,LAD,,
164321,LRT,,
164322,LAR,,
164325,LNI,,
164326,LEC,,
164327,LHR,,
164328,LMK,,
164329,LPT,,
164334,LBM,,
164335,LAD,,
164336,LIN,LQI,
164338,LBM,,
164340,LHR,,
164341,LBI,,
164342,LNI,,
164344,LAR,,
164346,LEF,,
164349,LEA,,
164351,LAR,,
164353,LBI,,
164354,LMK,,
164356,LAT,,
164359,LRM,,
164360,LNI,,
164362,LNI,,
164363,LRI,LPT,
164367,LMK,,
164370,LNA,,
164372,LAT,,
164373,LMK,,
164374,LMT,,
164375,LAT,,
164376,LPA,,
164377,LBC,LNM,
164378,LNI,,
164380,LNI,,
164382,LMK,,
164383,LIN,,
164384,LQI,,
164387,LPM,,
164388,LMK,,
164393,LPA,LPO,
164399,LCS,,
164402,LII,,
164403,LFA,,
164404,LAD,,
164405,LMK,,
164406,LBN,,
164409,LRM,,
164410,LNI,,
164411,LRI,,
164415,LAD,,
164416,LII,,
164417,LHR,,
164418,LNI,,
164419,LII,,
164422,LFP,,
164424,LHR,,
164425,LNM,,
164426,LDS,LAT,
164427,LAR,,
164428,LRI,,
164433,LMT,,
164436,LCS,,
164437,LNM,,
164442,LFP,,
164444,LPA,,
164446,LMT,,
164449,LMT,,
164454,LII,,
164455,LEF,,
164457,LFA,,
164460,LIM,,
164461,LMK,,
164464,LBM,,
164465,LRI,,
164466,LAD,,
164467,LRT,,
164470,LMK,,
164471,LAT,,
164472,LBN,,
164473,LPM,,
164474,LFP,,
164475,LBN,,
164476,LAR,,
164477,LAP,,
164478,LBN,,
164481,LEA,LRM,
164483,LAR,,
164484,LRI,,
164485,LAD,,
164486,LPM,,
164487,LMK,,
164491,LAD,,
164492,LAR,,
164495,LAR,,
164498,LIM,,
164499,LRI,,
164500,LFP,,
164501,LBM,,
164504,LIY,,
164505,LCS,,
164507,LAD,,
164509,LAD,,
164513,LBN,,
164515,LHR,,
164516,LMK,,
164517,LQI,,
164518,LBN,,
164519,LII,,
164524,LQI,,
164530,LRM,,
164531,LPM,,
164533,LMT,,
164534,LIM,,
164538,LRI,,
164539,LBC,,
164540,LEC,,
